case_id,family,pattern_id,changed_qids,set_change_rate,order_change_rate,first_change_position,private_access_count,leak_class,status
c_69e21dea9c9142c8,Leak-M,M4,0,0.0,0.0,,1,ACCESS_LEAK,REPRODUCED
c_6a131e0a66e44342,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_6a4d42c1df084d27,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_6cffbc17a06e4af7,Leak-F,F2,0,0.0,0.0,,60,ACCESS_LEAK,REPRODUCED
c_726f0e1e7cbd4663,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_761c96f6dd1e4ec6,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_7661a4a4c8e543d3,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_76e97580221148b2,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_773a01d0b3bf4a18,Leak-F,F1,0,0.0,0.0,,15,ACCESS_LEAK,REPRODUCED
c_77f1e43735db46b9,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_7ac276a881c046bd,Leak-R,R3,0,0.0,0.0,,105,ACCESS_LEAK,REPRODUCED
c_7dab3a7aae364b29,Leak-F,F4,0,0.0,0.0,,105,ACCESS_LEAK,REPRODUCED
c_7dfad22b84ed4dac,Leak-F,F1,0,0.0,0.0,,105,ACCESS_LEAK,REPRODUCED
c_83a70ce8d96049df,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_86046f76f7c94b25,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_865df1de3d2646b7,Leak-R,R1,0,0.0,0.0,,60,ACCESS_LEAK,REPRODUCED
c_86cdbb6429474b0c,Leak-F,F2,0,0.0,0.0,,15,ACCESS_LEAK,REPRODUCED
c_8b8359c4644e4bc6,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_8e45d88f0fa2499a,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_8ef2d3787cc54b05,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_944e1b7397fb484d,Clean,Clean,0,0.0,0.0,,0,NO_LEAK,REPRODUCED
c_95af74b6a1024214,Leak-M,M4,1,0.0,0.016666666666666666,2,5,BEHAVIORAL_LEAK,REPRODUCED
