qid_hash,doc_id_hash,level,category,row_hash
h_b9cc58a31d8e18f6,,query,query_states_real_conflict,9ad06263aaf59b7782c265585b724af3a3e8104d92b92834a4b7c54d528fd71d
h_3798fe03b6325806,,query,query_states_real_conflict,b10860a87ae51ef3941535bc6344581844d9c325839d6de15073025afb7794f0
h_3798fe03b6325806,,query,risk_types_real_conflict,b10860a87ae51ef3941535bc6344581844d9c325839d6de15073025afb7794f0
h_0a84731d9c9f375b,,query,query_states_real_conflict,743087b8f22494fcb507cfbaf3d50f9e1f28e70ed3d72c7a379090d73847e0d3
h_563fae909642c6f5,,query,query_states_real_conflict,728902f59b61f30cfda44d431917edbfb5b1f69834a93cc440460e4ea43a0dee
h_ed02b1555307e88f,,query,query_states_real_conflict,2057975beec4e264423aaa0c1ec4db1fa66ed7802e9a421f5ab7882dab4aff5d
h_ed02b1555307e88f,,query,risk_types_real_conflict,2057975beec4e264423aaa0c1ec4db1fa66ed7802e9a421f5ab7882dab4aff5d
h_91b53a8010f26961,,query,query_states_real_conflict,87403b27f38835dde01ced0a66e418e5d9e8b9fe16a1529399e9e5a422623c87
h_91b53a8010f26961,,query,risk_types_real_conflict,87403b27f38835dde01ced0a66e418e5d9e8b9fe16a1529399e9e5a422623c87
h_c4998a678d35af3c,,query,query_states_real_conflict,3951b1e27a23ea411bfbede2a435b6e67a9cc78a5af3569ec7d919927a391be8
h_c4998a678d35af3c,,query,risk_types_real_conflict,3951b1e27a23ea411bfbede2a435b6e67a9cc78a5af3569ec7d919927a391be8
h_b24c367420a1a94c,,query,query_states_real_conflict,ac97c85ce7042673ab96fd649a25c06784bff3860385ea5aca8a489b7b611184
h_b24c367420a1a94c,,query,risk_types_real_conflict,ac97c85ce7042673ab96fd649a25c06784bff3860385ea5aca8a489b7b611184
h_603e0c7761ec334d,,query,query_states_real_conflict,ec46e74a469537bd9bd416159faedea23835980aa60bce37b9aac6a3d80c9ac6
h_603e0c7761ec334d,,query,risk_types_real_conflict,ec46e74a469537bd9bd416159faedea23835980aa60bce37b9aac6a3d80c9ac6
h_41179dbea626d479,,query,fully_consistent,57150b3843755c0f9192e9d1bcd7da63ddb58430f6abf893732f3db27de0bc05
h_9e2e0be5a663c17f,,query,fully_consistent,5f50f642c3e6d41301700ff0a1c5f3026bd0ca8b265d9af1c29e664108a325ab
h_6ea8518f954d2aae,,query,query_states_real_conflict,ff4da45c07dd3b2332fe5a2169ab3cb328b0aa21beb77e60f9a67bf2fa64df6e
h_6ea8518f954d2aae,,query,risk_types_real_conflict,ff4da45c07dd3b2332fe5a2169ab3cb328b0aa21beb77e60f9a67bf2fa64df6e
h_f164da19117f30ce,,query,query_states_real_conflict,681fe1b5d0b5e2a5bcd276ffb2f9190f549c339bd59368cd2aefe84819a42f09
h_ac9ee62b6f06f803,,query,fully_consistent,c655f54ca9bbe4ec1b5e3ccab228127c6e45ce55926aa9388b2cd5b79127e151
h_dfd107b6db7a4496,,query,query_states_real_conflict,bc7b88aff65371b85bb2d802b93993cd39681f50dc1b388f4d7352c8efc41db8
h_dfd107b6db7a4496,,query,risk_types_real_conflict,bc7b88aff65371b85bb2d802b93993cd39681f50dc1b388f4d7352c8efc41db8
h_95cdc7428140ef2f,,query,query_states_real_conflict,4a4a93d8725936f3212cab410a3800c151ea40d0068b3d1de111ff0397bfaf64
h_95cdc7428140ef2f,,query,risk_types_real_conflict,4a4a93d8725936f3212cab410a3800c151ea40d0068b3d1de111ff0397bfaf64
h_021614be9955be9e,,query,fully_consistent,c35d8d170156597a31fc3d032591d47bc489ef638259ef03a9bc1428ec71bcf9
h_8d5ab639cef42d63,,query,query_states_real_conflict,ec6ebdea3f8c076b18c88f871330b199962c5d809ac2f41fcff8a5bd1a7760bd
h_9a94f6a1f0e6bf25,,query,fully_consistent,8b4b26e16686fbaa88c2acb4bd09a36e3046ab728e8eedb2823577cef370a870
h_4df543724df9e9e1,,query,query_states_real_conflict,397ff5ba486da06d5bac2b1321f97a0b1d8199404be1ef5ea327e2169ea6e943
h_4df543724df9e9e1,,query,risk_types_real_conflict,397ff5ba486da06d5bac2b1321f97a0b1d8199404be1ef5ea327e2169ea6e943
h_8ec55afb0b3688d7,,query,fully_consistent,01d64adcf21baa87a8bf09b9205936e4f8df7f0a89e137cad8325c6705fa20b0
h_d79788dfe9729247,,query,query_states_real_conflict,4dcf0001847c0b9606d8c083ffa30c33601b343f87381f40c085ead54cf7a748
h_d79788dfe9729247,,query,risk_types_real_conflict,4dcf0001847c0b9606d8c083ffa30c33601b343f87381f40c085ead54cf7a748
h_893b41c2ff393f8f,,query,fully_consistent,796fe4477aba15ebf808861a647c704623edc5b1c0ff8651e4f387042ea5819c
