case_id,clean_type,code_sha256,data_sha256,config_sha256,combined_sha256,status
c_bf705262cfd64e7a,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,47ec2be7c2589cec83b51b5168dd4da8511093cb7bf210d0e8f9102b4c28a6a7,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,9a4b59292c09f7fa336670a0c997ac7999aa419a205fb6a8f7f929577f8cfaa2,REPRODUCED
c_c0e03156eb114ec0,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,ca1cffd7fae3d2d96e0538ef639fa0126d937d82b3b3dc6e6dd965aab5739334,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,1bdc66abc47a6e9f5086ae7e258bedcdc8c3b89e0bf6f224e65ce6fdad0651a0,REPRODUCED
c_c2bdabf56b154c5a,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,a59642dd2251e28b3470c1b46a95777907d038d133c8b89e2ca6603516d42c73,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,638247f5e5de0bc6be294ff1868a5f47eaa2e83c92470e9891664cab6c0553ef,REPRODUCED
c_c2ed5d72fa75485f,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,474ab0f0da006a61ae8c619f06bbb4a372ea0eb85acc320bb747b6816bcfde1c,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,817bdbd0f9a7ba9104dd16077e2ad4ebdcfe5f4d665ce38eac5766a57e9ddad1,REPRODUCED
c_cb0685fad8ad43aa,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,5528ce58469363e18d312029ebc61ccce7fe37cbad633d2c12832271fc893a87,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,568b2634e1ee2f2a2ebc35a56b1e9174911dbd68ec06ed717e3bb2072754f509,REPRODUCED
c_cd44e81e84724d4a,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,63450ad562d98758c83bcf7d388c7945d5b29b9cf1af0e32b4d7e548614fa64f,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,533cc268c01a57d39b3ca169c1b1971c4ee2e5235d54a35a5d41b7153f7a05bb,REPRODUCED
c_ceda2a01073c44f3,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,57eec1d299730869d7a259b38b3c669b74abc9a17eaed01df5f9af618bef6d5d,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,9b87110a8adc0507a307062bf22ff505b748f0049b017b6b3b248481a5c0b5b6,REPRODUCED
c_d0846fda3e5e4736,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,b602cca89ff22dfd46c931a2e94ad7622c54f50804e758fc46ca579ef0271b4d,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,8d386e165158be5e3ca8a6e15a3ccdef0cdfb854cb0988d5b84baaeeab923638,REPRODUCED
c_eac81545cbfb4249,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,0ccf905cbf2e69701692d63afb1b592f031ffe96de2a1d41cfe372f0dddf272c,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,5254908825d6da069494f79cefbeaf0d616f0f7d753420f4bd791b0193b3c875,REPRODUCED
c_ee3a39fd03e44190,ordinary,74ee382a8777b2a8aca19c0a2cbeeda4e3ac12678681247bec82a6ea43da6516,b6c3e89dd1260992decb339ef81c3c2f1614982be9264ba07fd04dcd58f4bd5e,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,2f08b7ed1d36789ea48edb4fac3245e34509f9915b4b4da850fbfb3a725f607b,REPRODUCED
c_f34ccbf725484c85,hard,720cafdcd1aed179bf615fe621e0e60efc7646654c929242fd28f4ecd6bb339e,349665d2e9455337c7191a6eea5900742e092fe225f456995d0909843f130980,dbc273e2b1d2bd5371cd885ac8adb379e201f21a769849af5966894e76efaa78,1771510927e6f61cba7ca8092b2c76b18061dc53dd527e15b049e0a32622447c,REPRODUCED
