scenario,leak_rate,seed,demand_cov
query_only,0.5,30,0.8702
query_only,0.5,31,0.8724
query_only,0.5,32,0.8732
query_only,0.5,33,0.8745
query_only,0.5,34,0.8728
query_only,0.5,35,0.8699
query_only,0.5,36,0.8714
query_only,0.5,37,0.8706
query_only,0.5,38,0.8718
query_only,0.5,39,0.8745
query_only,0.5,40,0.8716
query_only,0.5,41,0.8718
query_only,0.5,42,0.8728
query_only,0.5,43,0.8706
query_only,0.5,44,0.8745
query_only,0.5,45,0.8745
query_only,0.5,46,0.8728
query_only,0.5,47,0.8741
query_only,0.5,48,0.8757
query_only,0.5,49,0.8757
query_only,0.75,0,0.8702
query_only,0.75,1,0.8702
query_only,0.75,2,0.8714
query_only,0.75,3,0.8702
query_only,0.75,4,0.8689
query_only,0.75,5,0.8702
query_only,0.75,6,0.8702
query_only,0.75,7,0.8718
query_only,0.75,8,0.8735
query_only,0.75,9,0.8702
query_only,0.75,10,0.8741
query_only,0.75,11,0.8702
query_only,0.75,12,0.8702
query_only,0.75,13,0.8728
query_only,0.75,14,0.8718
query_only,0.75,15,0.8702
query_only,0.75,16,0.8689
query_only,0.75,17,0.8728
query_only,0.75,18,0.8735
query_only,0.75,19,0.8714
query_only,0.75,20,0.8702
query_only,0.75,21,0.8702
query_only,0.75,22,0.8702
query_only,0.75,23,0.8728
query_only,0.75,24,0.8702
query_only,0.75,25,0.8702
query_only,0.75,26,0.8718
query_only,0.75,27,0.8718
query_only,0.75,28,0.8706
query_only,0.75,29,0.8714
query_only,0.75,30,0.8706
query_only,0.75,31,0.8712
query_only,0.75,32,0.8706
query_only,0.75,33,0.8702
query_only,0.75,34,0.8702
query_only,0.75,35,0.8702
query_only,0.75,36,0.8745
query_only,0.75,37,0.8706
query_only,0.75,38,0.8718
query_only,0.75,39,0.8718
query_only,0.75,40,0.8699
query_only,0.75,41,0.8712
query_only,0.75,42,0.8741
query_only,0.75,43,0.8689
query_only,0.75,44,0.8718
query_only,0.75,45,0.8706
query_only,0.75,46,0.8728
query_only,0.75,47,0.8728
query_only,0.75,48,0.8718
query_only,0.75,49,0.8702
query_only,1.0,0,0.8702
query_only,1.0,1,0.8702
query_only,1.0,2,0.8702
query_only,1.0,3,0.8702
query_only,1.0,4,0.8702
query_only,1.0,5,0.8702
query_only,1.0,6,0.8702
query_only,1.0,7,0.8702
query_only,1.0,8,0.8702
query_only,1.0,9,0.8702
query_only,1.0,10,0.8702
query_only,1.0,11,0.8702
query_only,1.0,12,0.8702
query_only,1.0,13,0.8702
query_only,1.0,14,0.8702
query_only,1.0,15,0.8702
query_only,1.0,16,0.8702
query_only,1.0,17,0.8702
query_only,1.0,18,0.8702
query_only,1.0,19,0.8702
query_only,1.0,20,0.8702
query_only,1.0,21,0.8702
query_only,1.0,22,0.8702
query_only,1.0,23,0.8702
query_only,1.0,24,0.8702
query_only,1.0,25,0.8702
query_only,1.0,26,0.8702
query_only,1.0,27,0.8702
query_only,1.0,28,0.8702
query_only,1.0,29,0.8702
query_only,1.0,30,0.8702
query_only,1.0,31,0.8702
query_only,1.0,32,0.8702
query_only,1.0,33,0.8702
query_only,1.0,34,0.8702
query_only,1.0,35,0.8702
query_only,1.0,36,0.8702
query_only,1.0,37,0.8702
query_only,1.0,38,0.8702
query_only,1.0,39,0.8702
query_only,1.0,40,0.8702
query_only,1.0,41,0.8702
query_only,1.0,42,0.8702
query_only,1.0,43,0.8702
query_only,1.0,44,0.8702
query_only,1.0,45,0.8702
query_only,1.0,46,0.8702
query_only,1.0,47,0.8702
query_only,1.0,48,0.8702
query_only,1.0,49,0.8702
evidence_only,0.0,0,0.8745
evidence_only,0.0,1,0.8745
evidence_only,0.0,2,0.8745
evidence_only,0.0,3,0.8745
evidence_only,0.0,4,0.8745
evidence_only,0.0,5,0.8745
evidence_only,0.0,6,0.8745
evidence_only,0.0,7,0.8745
evidence_only,0.0,8,0.8745
evidence_only,0.0,9,0.8745
evidence_only,0.0,10,0.8745
evidence_only,0.0,11,0.8745
evidence_only,0.0,12,0.8745
