split,method,k,category,denominator_qid,coverage_rate
cmedqa2_external,D3_TFIDF,5,D04_population_history,64,0.93750000
cmedqa2_external,D3_TFIDF,5,D05_care_emergency,13,0.92307692
cmedqa2_external,D3_TFIDF,5,D06_mental_safety,0,
cmedqa2_external,D3_TFIDF,7,D01_symptom_course,107,0.99065421
cmedqa2_external,D3_TFIDF,7,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,D3_TFIDF,7,D03_treatment_medication,73,1.00000000
cmedqa2_external,D3_TFIDF,7,D04_population_history,64,0.95312500
cmedqa2_external,D3_TFIDF,7,D05_care_emergency,13,0.92307692
cmedqa2_external,D3_TFIDF,7,D06_mental_safety,0,
cmedqa2_external,MMR,3,D01_symptom_course,107,0.89719626
cmedqa2_external,MMR,3,D02_cause_diagnosis,47,0.89361702
cmedqa2_external,MMR,3,D03_treatment_medication,73,0.94520548
cmedqa2_external,MMR,3,D04_population_history,64,0.87500000
cmedqa2_external,MMR,3,D05_care_emergency,13,0.69230769
cmedqa2_external,MMR,3,D06_mental_safety,0,
cmedqa2_external,MMR,5,D01_symptom_course,107,0.96261682
cmedqa2_external,MMR,5,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,MMR,5,D03_treatment_medication,73,0.98630137
cmedqa2_external,MMR,5,D04_population_history,64,0.93750000
cmedqa2_external,MMR,5,D05_care_emergency,13,0.76923077
cmedqa2_external,MMR,5,D06_mental_safety,0,
cmedqa2_external,MMR,7,D01_symptom_course,107,0.98130841
cmedqa2_external,MMR,7,D02_cause_diagnosis,47,0.97872340
cmedqa2_external,MMR,7,D03_treatment_medication,73,0.98630137
cmedqa2_external,MMR,7,D04_population_history,64,0.95312500
cmedqa2_external,MMR,7,D05_care_emergency,13,0.92307692
cmedqa2_external,MMR,7,D06_mental_safety,0,
