scenario,leak_rate,seed,demand_cov,ndcg_10
query_only,0.75,32,0.8706,0.6314
query_only,0.75,33,0.8702,0.6313
query_only,0.75,34,0.8702,0.6317
query_only,0.75,35,0.8702,0.6312
query_only,0.75,36,0.8745,0.6308
query_only,0.75,37,0.8706,0.6337
query_only,0.75,38,0.8718,0.6310
query_only,0.75,39,0.8718,0.6304
query_only,0.75,40,0.8699,0.6291
query_only,0.75,41,0.8712,0.6311
query_only,0.75,42,0.8741,0.6302
query_only,0.75,43,0.8689,0.6299
query_only,0.75,44,0.8718,0.6330
query_only,0.75,45,0.8706,0.6321
query_only,0.75,46,0.8728,0.6324
query_only,0.75,47,0.8728,0.6320
query_only,0.75,48,0.8718,0.6320
query_only,0.75,49,0.8702,0.6322
query_only,1,0,0.8702,0.6319
query_only,1,1,0.8702,0.6319
query_only,1,2,0.8702,0.6319
query_only,1,3,0.8702,0.6319
query_only,1,4,0.8702,0.6319
query_only,1,5,0.8702,0.6319
query_only,1,6,0.8702,0.6319
query_only,1,7,0.8702,0.6319
query_only,1,8,0.8702,0.6319
query_only,1,9,0.8702,0.6319
query_only,1,10,0.8702,0.6319
query_only,1,11,0.8702,0.6319
query_only,1,12,0.8702,0.6319
query_only,1,13,0.8702,0.6319
query_only,1,14,0.8702,0.6319
query_only,1,15,0.8702,0.6319
query_only,1,16,0.8702,0.6319
query_only,1,17,0.8702,0.6319
query_only,1,18,0.8702,0.6319
query_only,1,19,0.8702,0.6319
query_only,1,20,0.8702,0.6319
query_only,1,21,0.8702,0.6319
query_only,1,22,0.8702,0.6319
query_only,1,23,0.8702,0.6319
query_only,1,24,0.8702,0.6319
query_only,1,25,0.8702,0.6319
query_only,1,26,0.8702,0.6319
query_only,1,27,0.8702,0.6319
query_only,1,28,0.8702,0.6319
query_only,1,29,0.8702,0.6319
query_only,1,30,0.8702,0.6319
query_only,1,31,0.8702,0.6319
query_only,1,32,0.8702,0.6319
query_only,1,33,0.8702,0.6319
query_only,1,34,0.8702,0.6319
query_only,1,35,0.8702,0.6319
query_only,1,36,0.8702,0.6319
query_only,1,37,0.8702,0.6319
query_only,1,38,0.8702,0.6319
query_only,1,39,0.8702,0.6319
query_only,1,40,0.8702,0.6319
query_only,1,41,0.8702,0.6319
query_only,1,42,0.8702,0.6319
query_only,1,43,0.8702,0.6319
query_only,1,44,0.8702,0.6319
query_only,1,45,0.8702,0.6319
query_only,1,46,0.8702,0.6319
query_only,1,47,0.8702,0.6319
query_only,1,48,0.8702,0.6319
query_only,1,49,0.8702,0.6319
evidence_only,0,0,0.8745,0.6293
evidence_only,0,1,0.8745,0.6293
evidence_only,0,2,0.8745,0.6293
evidence_only,0,3,0.8745,0.6293
evidence_only,0,4,0.8745,0.6293
evidence_only,0,5,0.8745,0.6293
evidence_only,0,6,0.8745,0.6293
evidence_only,0,7,0.8745,0.6293
evidence_only,0,8,0.8745,0.6293
evidence_only,0,9,0.8745,0.6293
evidence_only,0,10,0.8745,0.6293
evidence_only,0,11,0.8745,0.6293
evidence_only,0,12,0.8745,0.6293
evidence_only,0,13,0.8745,0.6293
evidence_only,0,14,0.8745,0.6293
evidence_only,0,15,0.8745,0.6293
evidence_only,0,16,0.8745,0.6293
evidence_only,0,17,0.8745,0.6293
