result_id,experiment_family,split,method,metric,value,sample_size,status,source_release,source_commit,source_file,source_sha256,verification_method,local_rerun,notes
b0_d3_component_gaps.1.evidence_loss,b0_d3_component_gaps,internal_blind,,evidence_loss,0.0537,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_component_gaps.1.interaction_loss,b0_d3_component_gaps,internal_blind,,interaction_loss,-0.0216,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_component_gaps.2.oracle_gain,b0_d3_component_gaps,cmedqa2_external,,oracle_gain,0.0229,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_component_gaps.2.query_loss,b0_d3_component_gaps,cmedqa2_external,,query_loss,0.0023,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_component_gaps.2.evidence_loss,b0_d3_component_gaps,cmedqa2_external,,evidence_loss,0.0094,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_component_gaps.2.interaction_loss,b0_d3_component_gaps,cmedqa2_external,,interaction_loss,0.0012,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/gap_decomposition.csv,2da1114fefd1fa7c5650f4010cfb63538557cbaef334197fb4ee5924d9c562fb,sha256_schema_row_count,false,
b0_d3_statistics.0.diff,b0_d3_statistics,formal_train,,diff,0.0636,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.0.p_value,b0_d3_statistics,formal_train,,p_value,0.0002,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.0.ci95_low,b0_d3_statistics,formal_train,,ci95_low,0.0445,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.0.ci95_high,b0_d3_statistics,formal_train,,ci95_high,0.0845,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
