split,method,k,n_qid,demand_cov_at_k,ndcg_at_k,official_ndcg_10,unique_demand_count,mean_gold_relevance,mean_reranker_score,mean_pairwise_similarity,redundancy,full_query_coverage_rate,risk_demand_coverage_rate,risk_qid_count,evidence_status,source_file,source_commit,source_sha256,local_rerun
internal_blind,MMR,7,200,0.94550000,0.70280353,0.62582367,4.32000000,0.98928571,0.86194837,0.14712006,0.48325794,0.87000000,0.98148148,54,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,B0,3,142,0.91373239,0.68921996,0.39241064,3.75352113,1.08920188,0.90463503,0.22220078,0.58141628,0.80985915,0.96078431,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,B0,5,142,0.96302817,0.69558209,0.51658022,4.10563380,1.04929577,0.87074552,0.20751794,0.56390845,0.92253521,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,B0,7,142,0.97065728,0.71257794,0.61980032,4.28873239,1.02816901,0.83407662,0.19778662,0.55378940,0.94366197,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D0,3,142,0.98356808,0.63599449,0.35688941,4.07042254,1.00469484,0.88248492,0.19018188,0.47957746,0.96478873,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D0,5,142,0.98591549,0.65715936,0.48485928,4.28169014,1.00422535,0.85340138,0.19499408,0.50830986,0.97183099,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D0,7,142,0.98591549,0.68506745,0.59417845,4.43661972,1.00603622,0.82170186,0.18935440,0.52076347,0.97183099,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D1,3,142,0.97593897,0.65382100,0.37022952,4.15492958,1.03286385,0.87726780,0.18341189,0.45723787,0.94366197,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D1,5,142,0.98356808,0.67023775,0.49607465,4.38028169,1.01267606,0.85353464,0.18857077,0.49929577,0.96478873,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D1,7,142,0.98356808,0.69456935,0.60298843,4.49295775,1.00503018,0.82332903,0.18646217,0.51334675,0.96478873,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D2,3,142,0.93661972,0.67027288,0.38214982,3.86619718,1.04929577,0.86614035,0.17162038,0.52586072,0.86619718,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D2,5,142,0.97652582,0.68197839,0.50741194,4.18309859,1.02676056,0.84584200,0.18337897,0.53330986,0.94366197,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D2,7,142,0.98122066,0.70411562,0.61320301,4.33802817,1.01408451,0.81505048,0.18207634,0.53152806,0.95774648,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D3_TFIDF,3,142,0.94542254,0.65201612,0.37133687,3.86619718,1.02816901,0.86795599,0.18023798,0.52703443,0.88028169,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D3_TFIDF,5,142,0.97300469,0.66603190,0.49543721,4.18309859,1.00985915,0.84460229,0.18601023,0.54090376,0.93661972,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,D3_TFIDF,7,142,0.98122066,0.69723651,0.60754929,4.38732394,1.01509054,0.81525128,0.18176353,0.53364073,0.95774648,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,MMR,3,142,0.90199531,0.66137441,0.37503334,3.69014085,1.03521127,0.89421777,0.11576824,0.53661972,0.79577465,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,MMR,5,142,0.95892019,0.67597012,0.50112287,4.12676056,1.01690141,0.86018184,0.14473201,0.52760563,0.91549296,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
cmedqa2_external,MMR,7,142,0.97417840,0.70898122,0.61709346,4.36619718,1.02716298,0.82386254,0.15865431,0.52067963,0.95070423,1.00000000,51,VERIFIED_FROM_RELEASE,paper_results/revision_v5/tables/topk_sensitivity_summary.csv,876a16d098e1da3f642ef70854cbc985bae5f9e3,d80596b5952071be71ab0edf05829ee7ae29a82e2d45bf7e5150b70249a579aa,false
